id,word,list_definition,verbose_definition,list_description
1,intimate,"marked by close acquaintance, association, or familiarity","Intimate means being close. A small restaurant is called intimate because you're sitting close to the other people, and your best friends are considered your intimate friends.",
2,qualify,prove capable or fit; meet requirements,"Make sure you know the context when using the word qualify. In one sense, it means to be right for, to measure up. In another sense, though, qualify means to change something slightly, to limit it or add a condition to it.",
3,veracious,habitually speaking the truth,"Someone who is veracious speaks the truth — like your brutally honest friend who always lets you know what she thinks about your outfits, your hairstyle, your lasagna recipe, and your taste in movies.",
4,acrimony,a rough and bitter manner,'A' 'Crime' 4 'Money' is always rough and bitter !!!,"Acrimony is bitterness, or ill will. Acrimony is a spiteful word. It sounds bitter, like acid."
5,laconic,brief and to the point,"Laconic is an adjective that describes a style of speaking or writing that uses only a few words, often to express complex thoughts and ideas.  A more laconic way to write that last sentence might be this: laconic means brief.",
6,betray,deliver to an enemy by treachery,"When you betray someone or something, you provide information whether you mean to do it or not, like the loud growling of your stomach that betrays your hunger or the secret you tell about your friend that betrays her trust.",
7,mercurial,liable to sudden unpredictable change,"Mercurial describes someone whose mood or behavior is changeable and unpredictable, or someone who is clever, lively, and quick. With a mercurial teacher, you never know where you stand.",
8,profligate,unrestrained by convention or morality,"Profligate, as a noun or as an adjective, implies recklessly wasting your money on extravagant luxury. Profligate behavior is a lot of fun, but you'll regret it later â€” when you get your charge card bill.","Profligate, as a noun or as an adjective, implies recklessly wasting your money on extravagant luxury. Profligate behavior is a lot of fun, but you'll regret it later — when you get your charge card bill."
9,harangue,a loud bombastic declamation expressed with strong emotion,"A harangue is more than a speech, louder than a discussion, and nastier than a lecture. It is a verbal attack that doesn't let up, delivered as a verb or received as a noun. Either way, it's pretty unpleasant.",
10,restive,being in a tense state,"To be restive is to be impatient or on edge — it's an edgy state. When you feel like your skin is too tight and your nerves are ready to snap, when you feel ready to explode, you are restive.",
11,auspicious,indicating favorable circumstances and good luck,"Use the adjective auspicious for a favorable situation or set of conditions. If you start a marathon by falling flat on your face, that's not an auspicious start.",
12,iconoclast,someone who attacks cherished ideas or institutions,Are you always challenging the establishment? Or provoking popular thought by attacking traditions and institutions? Then you're definitely an iconoclast.,
13,castigate,inflict severe punishment on,"Use castigate  when you mean ""to reprimand in an especially harsh way."" If you accidentally spill coffee all over your sister's favorite sweater, you might worry that she's going to castigate you as soon as she finds out.",
14,censure,harsh criticism or disapproval,"Censure is a noun referring to very strong criticism; the verb means to criticize very strongly. If you take your dad's car without telling him, you can expect him to censure you severely, and maybe even ground you as well.",
15,prodigal,recklessly wasteful,"Use the adjective prodigal to describe someone who spends too much money, or something very wasteful. Your prodigal spending on fancy coffee drinks might leave you with no money to buy lunch.",
16,involve,contain as a part,"To involve means to connect. When you get involved in the Spanish Club, you attend meetings and events. If doing math well is involved in understanding advanced chemistry, that means it's a necessary part of it.",
17,parochial,relating to or supported by or located in a parish,"If an issue or a matter is parochial, it is trivial or only concerns a local area. Likewise, a person with a parochial mentality is narrow-minded, or not open to new ideas.",
18,prevaricate,be deliberately ambiguous or unclear,"pre+var(truth)+cate(fabricate) is to fabricate the truth, meaning to lie.","When you prevaricate, you lie or mislead. Now, go ahead and tell me whether you already knew that meaning, and don’t prevaricate about it — give me the story straight!"
19,undermine,"weaken or impair, especially gradually","To undermine literally means to dig a hole underneath something, making it likely to collapse. But we more often use the word to describe sabotage or the act of weakening someone else's efforts.",
20,ingenuous,lacking in sophistication or worldliness,"Someone who is ingenuous shows a childlike innocence, trust, and openness. One of the things kindergarten teachers value is the chance to work with kids while they're still relatively ingenuous––their open, trusting natures are a joy.",
21,equivocal,open to two or more interpretations,"Equivocal means uncertain or ambiguous. If you ask your teacher what's on an upcoming test and she gives you an equivocal answer, you won't be able to narrow down your studying.",
22,amorphous,having no definite form or distinct shape,"Amorphous means without a clearly defined form, like the moon's amorphous reflection in a lake. Figuratively, something amorphous lacks focus, be it a work of art, a political movement, or even someone's life plans.",
23,belie,be in contradiction with,make lie,"To belie means to contradict. If you are 93 but look like you are 53, then your young looks belie your age."
24,amenable,disposed or willing to comply,Amen is a word used in islam and christinity. meaning of which is i agree. So amenable means something able to be agreed.,"If your friends want to try sky diving and you're amenable to the idea, sounds like you're going to be jumping out of a plane. If a person or thing is amenable to something, they are ready, willing, or responsive."
25,frugal,avoiding waste,A person who lives simply and economically can be called frugal. Buying clothes at a consignment shop would be considered frugal. Not getting your mom a gift for her birthday — that's just cheap.,
26,vindicate,show to be right by providing justification or proof,vidicate....split it like vin(WIN) + di(the) + cate(case)....so when you win a case IN a COURT...it means you are freed FROM ACCUSATION AND CHARGES...you are freed from blame.,"Vindicate means to justify, prove, or reinforce an idea — or to absolve from guilt. If your family thinks you hogged the last piece of pie on Thanksgiving, you'll be vindicated when your younger brother fesses up."
27,ambivalent,uncertain or unable to decide about what course to follow,"If you can't decide how you feel about something, declare yourself ambivalent about it.",
28,venerate,regard with feelings of respect and reverence,"To venerate is to worship, adore, be in awe of. You probably don't venerate your teacher or boss; however, you may act like you do!",
29,gregarious,temperamentally seeking and enjoying the company of others,"If you know someone who's outgoing, sociable, and fond of the company of others, you might want to call her gregarious.",
30,amalgam,a combination or blend of diverse things,"In science, when you mix a metal with mercury to soften it, you create an amalgam. Otherwise, an amalgam is simply a combination of two or more unlike things into one.",
31,galvanize,stimulate (muscles) by administering a shock,"The verb galvanize refers to stimulating muscles with an electrical current, and this word is also used to suggest stimulating someone into action. An inspiring speech can galvanize people into making a change.",
32,egregious,conspicuously and outrageously bad or reprehensible,"Something that is egregious stands out, but not in a good way — it means ""really bad or offensive."" If you make an egregious error during a championship soccer match, your coach might bench you for the rest of the game.",
33,artful,not straightforward or candid,"To be artful is to do something skillfully, especially in a cunning way. A con man must be artful.",
34,enervate,weaken mentally or morally,"To enervate is to weaken, wear down, or even bum out. A three-hour lecture on the history of socks might thrill someone, it would enervate most people. So would a too-long soak in a hot tub. With your parents.",
35,impertinent,improperly forward or bold,IMproPER tenant(tinent) are rude and insolent,"If someone's rude without being openly nasty, like a kid in the back row of class quietly heckling his teacher, you can call him impertinent."
36,demur,politely refuse or take exception to,"If your mother asks you to clean your room and you refuse, you demur. And if your friend invites you to the Death Metal Forever concert but you hesitate, you demur. Whether you object, politely disagree, or hesitate, you demur.",
37,extant,still in existence; not extinct or destroyed or lost,"Use the adjective extant to describe old things that are still around, like your extant diary from third grade or the only extant piece of pottery from certain craftspeople who lived hundreds of years ago.",
38,parsimony,extreme stinginess,"Parsimony is a noun to use when you are watching your money very carefully. So you're not just saving your pennies for a rainy day — you're clipping coupons, re-using dryer sheets, and refusing to pay full price for anything.",
39,maintain,"keep in a certain state, position, or activity","Maintain means to keep the same––keep steady, keep up, or keep going. Sure, you can ride your bike super fast on a flat surface, but it can be hard to maintain that speed, or keep the same speed, going up a hill.",
40,anomalous,deviating from the general or common order or type,"Something that deviates from the norm is anomalous. Something anomalous can be good, such as an exciting new direction in music or art. But that anomalously low score on your math test? Not so good.",
41,calumny,a false accusation of an offense,"calumny, sounds like kalmuhi, which is a harsh remark given by a saas to her bahu. So its a kind of slander",Use the noun calumny to characterize verbal attacks that are meant to destroy reputations or friendships. You've probably seen political ads during election time that rely on calumny to move voters.
42,innocuous,not injurious to physical or mental health,"Something that's innocuous isn't harmful or likely to cause injury. Public figures like mayors and governors have to expect they'll get critical or even hurtful emails and phone calls, as well as more innocuous feedback.",
43,venal,capable of being corrupted,Someone with venal motives is corrupt and maybe a little evil. Nobody wants to be thought of as venal.,
44,chastise,censure severely,"Chastise is a fancy word for telling someone that something they did was really bad. If you pick your nose, your mom will probably yell at you. If you pick your nose in front of the Queen of England, your mom will chastise you.",
